"rn"	"0.69%"	"0.95%"	"0.99%"
"1"	1992	NA	NA	NA
"2"	1992	NA	NA	NA
"3"	1993	0.029029029029029	0.011011011011011	0.005005005005005
"4"	1993	0.119119119119119	0.187187187187187	0.239239239239239
"5"	1994	0.186186186186186	0.147147147147147	0.125125125125125
"6"	1994	0.285285285285285	0.337337337337337	0.372372372372372
"7"	1995	0.261261261261261	0.223223223223223	0.199199199199199
"8"	1995	0.351351351351351	0.396396396396396	0.425425425425425
"9"	1996	0.317317317317317	0.28028028028028	0.258258258258258
"10"	1996	0.401401401401401	0.442442442442442	0.469469469469469
"11"	1997	0.36036036036036	0.325325325325325	0.304304304304304
"12"	1997	0.436436436436436	0.472472472472472	0.496496496496497
"13"	1998	0.387387387387387	0.355355355355355	0.335335335335335
"14"	1998	0.456456456456456	0.48948948948949	0.510510510510511
"15"	1999	0.412412412412412	0.382382382382382	0.363363363363363
"16"	1999	0.477477477477477	0.508508508508508	0.528528528528528
"17"	2000	0.406406406406406	0.378378378378378	0.36036036036036
"18"	2000	0.467467467467467	0.497497497497497	0.516516516516517
"19"	2001	0.423423423423423	0.396396396396396	0.379379379379379
"20"	2001	0.481481481481481	0.509509509509509	0.527527527527528
"21"	2002	0.432432432432432	0.406406406406406	0.39039039039039
"22"	2002	0.488488488488488	0.515515515515516	0.532532532532533
"23"	2003	0.446446446446446	0.422422422422422	0.405405405405405
"24"	2003	0.500500500500501	0.526526526526527	0.542542542542543
"25"	2004	0.458458458458458	0.433433433433433	0.417417417417417
"26"	2004	0.511511511511512	0.535535535535536	0.551551551551552
"27"	2005	0.46046046046046	0.436436436436436	0.421421421421421
"28"	2005	0.511511511511512	0.534534534534534	0.550550550550551
"29"	2006	0.467467467467467	0.444444444444444	0.429429429429429
"30"	2006	0.517517517517518	0.540540540540541	0.555555555555556
"31"	2007	0.484484484484485	0.462462462462462	0.447447447447447
"32"	2007	0.533533533533533	0.556556556556557	0.570570570570571
"33"	2008	0.483483483483483	0.461461461461461	0.447447447447447
"34"	2008	0.531531531531532	0.553553553553554	0.568568568568569
"35"	2009	0.475475475475475	0.453453453453453	0.439439439439439
"36"	2009	0.521521521521522	0.543543543543544	0.557557557557558
"37"	2010	0.47047047047047	0.448448448448448	0.435435435435435
"38"	2010	0.515515515515516	0.536536536536537	0.550550550550551
"39"	2011	0.475475475475475	0.455455455455455	0.441441441441441
"40"	2011	0.520520520520521	0.541541541541542	0.555555555555556
"41"	2012	0.483483483483483	0.463463463463463	0.449449449449449
"42"	2012	0.527527527527528	0.548548548548549	0.561561561561562
"43"	2013	0.487487487487487	0.467467467467467	0.454454454454454
"44"	2013	0.530530530530531	0.550550550550551	0.564564564564565
"45"	2014	0.479479479479479	0.459459459459459	0.447447447447447
"46"	2014	0.521521521521522	0.541541541541542	0.554554554554555
"47"	2015	0.477477477477477	0.457457457457457	0.445445445445445
"48"	2015	0.519519519519519	0.538538538538539	0.551551551551552
"49"	2016	0.471471471471471	0.451451451451451	0.439439439439439
"50"	2016	0.512512512512513	0.531531531531532	0.544544544544544
"51"	2017	0.474474474474474	0.455455455455455	0.443443443443443
"52"	2017	0.515515515515516	0.534534534534534	0.547547547547548
